YEAR,WORLD_TOURISM_RECEIPTS,WORLD_TOURISM_RECEIPTS_-_GROWTH_RATE,WORLD_TOURISM_RECEIPTS_-_FEE_IN_INDIA,GROWTH_RATE,PERCENTAGE_SHARE_OF_INDIA_IN_WORLD,INDIAS_RANK_IN_WORLD,WORLD_RECEIPTS_BN,INDIA_RECEIPTS_BN
2001,463.8,-2.4,3.2,-7.8,0.69,36,0.46,0.0
2002,481.9,3.9,3.1,-2.8,0.64,37,0.48,0.0
2003,529.3,9.8,4.5,43.9,0.84,37,0.53,0.0
2004,633.2,19.6,6.2,38.3,0.97,26,0.63,0.01
2005,679.6,7.3,7.5,21.4,1.1,22,0.68,0.01
2006,744.0,9.5,8.6,15.2,1.16,22,0.74,0.01
2007,857.0,15.2,10.7,24.3,1.25,22,0.86,0.01
2008,939.0,9.6,11.8,10.3,1.26,22,0.94,0.01
2009,853.0,-9.2,11.1,-5.8,1.31,20,0.85,0.01
2010,931.0,9.1,14.5,30.1,1.56,17,0.93,0.01
2011,1042.0,11.9,17.7,22.2,1.7,18,1.04,0.02
2012,1117.0,7.2,18.0,1.5,1.61,16,1.12,0.02
2013,1198.0,7.3,18.4,2.3,1.54,16,1.2,0.02
2014,1252.0,4.5,19.7,7.1,1.57,15,1.25,0.02
2015,1217.0,-2.8,21.0,6.6,1.73,14,1.22,0.02
2016,1247.0,2.5,22.9,9.1,1.84,13,1.25,0.02
2017,1349.0,8.2,27.3,19.1,1.84,13,1.35,0.03
2018,1439.0,6.7,28.6,4.7,1.99,13,1.44,0.03
2019,1483.0,3.1,30.1,5.1,2.02,13,1.48,0.03
2020,546.0,-63.3,6.9,-76.9,1.27,13,0.55,0.01
