Month,FEE from tourism  (In ? crore) - 2019,FEE from tourism  (In ? crore) - 2020,FEE from tourism  (In ? crore) - 2021,FEE from tourism  (In ? crore) - 2023,FEE from tourism  (In ? crore) - 2024
January,18,20,4700,8.91,9.59
February,17,18,5477,8.93,10.03
March,16,5,6642,8.25,8.6
April,17,71,6891,6.26,6.51
May,13,94,1730,6.18,6
June,16,208,3157,6.68,7.06
July,18,307,4105,7.86,7.76
August,17,479,5251,6.64,6.36
September,16,686,6549,6.67,0
October,17,831,5094,8.32,0
November,19,10,7022,9.49,0
December,22,10,8452,11.02,0
